                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1787,                 3.6687,                 1.2662,                0.01085,                0.82816,                0.27352,                0.19096,                0.70598,                 3.4184,                0.89561,             0.00032353,             0.00032353,             0.00032353
                      2,                 1.1879,                  3.046,                 1.2363,                0.96429,                0.10256,                0.20281,                0.09526,                  1.342,                 3.4087,                 1.4754,             0.00064061,             0.00064061,             0.00064061
                      3,                 1.2667,                 2.5017,                 1.3112,                 0.2788,                0.33758,                0.30316,                0.18438,                 1.3593,                 2.9554,                 1.4577,             0.00094118,             0.00094118,             0.00094118
                      4,                 1.2231,                 2.1113,                 1.2817,                0.74205,                0.37523,                0.34413,                0.20941,                 1.2541,                  3.242,                 1.2212,             0.00092575,             0.00092575,             0.00092575
                      5,                  1.236,                 2.0103,                 1.2761,                0.13833,                 0.3842,                0.24489,                0.13415,                 1.4109,                 4.1532,                 1.4462,               0.000901,               0.000901,               0.000901
                      6,                  1.183,                 1.9319,                 1.2572,                0.25284,                0.45105,                0.35967,                0.23809,                 1.2647,                 2.5597,                 1.2603,             0.00087625,             0.00087625,             0.00087625
                      7,                 1.1844,                 1.9027,                 1.2578,                0.16924,                 0.4579,                0.28495,                0.16218,                 1.4119,                 2.7094,                 1.4124,              0.0008515,              0.0008515,              0.0008515
                      8,                 1.1025,                 1.8067,                 1.2287,                0.28209,                0.53813,                 0.4418,                0.32334,                  1.109,                 2.1757,                 1.1255,             0.00082675,             0.00082675,             0.00082675
                      9,                 1.1116,                 1.7506,                 1.2388,                0.74618,                0.38677,                0.42297,                0.29158,                 1.1588,                 2.2665,                 1.1565,               0.000802,               0.000802,               0.000802
                     10,                 1.0749,                 1.6584,                 1.2126,                0.37242,                0.51326,                0.42653,                0.31885,                 1.0766,                 1.9561,                 1.1188,             0.00077725,             0.00077725,             0.00077725
                     11,                 1.0609,                 1.6228,                 1.1948,                0.63687,                0.37732,                0.47875,                0.32459,                 1.0133,                 2.0322,                  1.098,              0.0007525,              0.0007525,              0.0007525
                     12,                0.99233,                 1.5367,                 1.1634,                0.61564,                 0.4032,                 0.5403,                0.39622,                0.99147,                 1.8835,                 1.0896,             0.00072775,             0.00072775,             0.00072775
                     13,                0.97285,                 1.4714,                 1.1585,                 0.3842,                0.64767,                0.56601,                0.40793,                 1.0739,                 1.6845,                  1.099,               0.000703,               0.000703,               0.000703
                     14,                0.97364,                 1.4818,                 1.1584,                0.34006,                0.59626,                0.45459,                0.31739,                 1.0652,                 1.9977,                 1.1446,             0.00067825,             0.00067825,             0.00067825
                     15,                0.98222,                 1.4401,                 1.1669,                0.76414,                0.40017,                0.53446,                0.38467,                0.96125,                  1.818,                 1.0837,              0.0006535,              0.0006535,              0.0006535
                     16,                0.93997,                 1.3852,                 1.1556,                0.46293,                0.44829,                0.53726,                0.39327,                 1.0231,                 1.7788,                 1.1392,             0.00062875,             0.00062875,             0.00062875
                     17,                0.90104,                 1.3336,                 1.1269,                0.44674,                0.61347,                0.53212,                0.38419,                0.96702,                 1.7111,                 1.0918,               0.000604,               0.000604,               0.000604
